국가명,환율
미국 USD,1392.2
유럽연합 EUR,1566.16
일본 JPY,9.5984
중국 CNY,192.93
홍콩 HKD,178.02
대만 TWD,46.12
영국 GBP,1860.33
오만 OMR,3616.29
캐나다 CAD,998.53
스위스 CHF,1669.6
스웨덴 SEK,143.69
호주 AUD,897.27
뉴질랜드 NZD,823.28
체코 CZK,62.87
칠레 CLP,1.49
튀르키예 TRY,35.84
몽골 MNT,0.39
이스라엘 ILS,392.32
덴마크 DKK,209.89
노르웨이 NOK,135.05
사우디아라비아 SAR,371.18
쿠웨이트 KWD,4530.72
바레인 BHD,3692.74
아랍에미리트 AED,379.05
요르단 JOD,1963.61
이집트 EGP,27.81
태국 THB,42.08
싱가포르 SGD,1075.1
말레이시아 MYR,324.45
인도네시아 IDR,0.0849
카타르 QAR,382.15
카자흐스탄 KZT,2.72
브루나이 BND,1075.1
인도 INR,16.29
파키스탄 PKR,4.93
방글라데시 BDT,11.46
필리핀 PHP,25.01
멕시코 MXN,71.65
브라질 BRL,245.93
베트남 VND,0.053899999999999997
남아프리카 랜드,77.06
러시아 RUB,17.35
헝가리 HUF,3.9
폴란드 PLN,367.56
스리랑카 LKR,4.64
알제리 디나르,10.47
케냐 KES,10.78
콜롬비아 COP,0.33
탄자니아 TZS,0.52
네팔 NPR,10.19
루마니아 RON,310.34
리비아 디나르,253.45
마카오 MOP,172.75
미얀마 MMK,0.66
에티오피아 ETB,10.26
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.35
피지 달러,614.59
